title,language,director,plot
Kids in America,American,Josh Stolberg,inspired real events3 kids america teen comedy diverse group high school kids band together peacefully stand personal rights dignity holden donovan love interest charlotte pratt fed principal donna weller goes great lengths stop students enjoying right free expression suspending monica rose wearing condoms outfit promote safe sex spirit week suspending lawrence reitzer kissing another guy hallway meanwhile shes running state school superintendent elected afford power practice brand administration beyond booker high school holden suspended ultimately expelled speaking publicly weller says youre nothing politician students ally mr drucker one teachers encourages fight rights pays price position fired principal weller decides use dismissal make change using newfound free time produce documentary chronicling experiences students faced similar issues holden befriends group teens including libertarian charlotte pratt voyeuristic punkrock fan chuck mcginn cheerleader katie carmichael americanofchinesedescent emily chua homosexual lawrence reitzer americanofafricandescent walanda jenkins cheerleader kelly stepford founder schools celibacy society monica rose cheerleader ashley harris goth chick dementia together engage civil disobedience passing condoms staging walkouts organize student body take principal weller make real change booker high due efforts weller loses election subsequently quits job
Long-Haired Hare,American,Unknown,hillside bugs singing rainy night rio1 nearby house burly blondhaired opera singer named giovanni jones rehearses largo al factotum barber seville1 overhearing bugs absentmindedly finds singing along operatic style realizing accidentally switched genres1 giovanni loses temper rehearsal interrupted manner reacts grabbing banjo bugs popping strings splitting instrument two crushes neck slams banjo body bugs head musichater bugs opines giovanni practices hears bugs singing variation gal highborn lady tries ignore bugs ends singing dancing along1 furious retaliates crushing harp bugs trapped strings hmm also rabbithater oh well bugs counters giovanni tries sing sound tuba seems come mouth sound coming bugs playing yuba plays rhumba tuba1 though bugs ducks hole seeing giovanni approach singer pulls bugs tuba ties ears tree branch pulls bounces repeatedly beneath branch bonking head several times giovanni walks away bugs angrily decides time payback says famous line course know means war1 bugs exacts revenge giovanni series public humiliations concert seemingly hollywood bowl first bugs causes roof concert hall vibrate disrupting singers vocals hammers violent shuddering causes giovanni bounce across stage falls becomes trapped orchestras tuba bugs rescues takes backstage next bugs sprays giovannis throat liquid alum shrinks head well voice sings figaro part bugs dresses teenage bobby soxer asks giovanni autograph frankie perry arent except pen stick dynamite offscreen explosion giovanni steps stage singed face evening wear torn shreds takes couple bows collapses concerts final act bugs poses highly respected leopold stokowski prompting giovanni musicians conductor acknowledge repeated astonished cries leopold bugs takes conducting duties destroying baton using hands instead real leopold bugs makes giovanni sing different notes including low bugs accepting brief applause instantly stopped raises hand cracks knuckles winds fists conducts giovanni holding singular high g note giovanni hardly endure strain giovannis face turns red purple blue green squirms formal wear unravels bugs leaves glove hovering air steps outside order pair earmuffs delivered instantly bugs places order mailbox bugs returns stage find giovanni obeyed glove still singing high note thrashing floor banging fists face turning white grey yellow finally top concert halls shell shatters tumbles top giovanni audience applauds bugs roughedup giovanni whose hair reddish appears rubble take bow noticing one last piece amphitheater balanced steel beam giovanni bugs cues singer close performance encore high note causes piece falls crush camera satisfied victory bugs removes wig ends show taking another banjo playing vaudevilleera fournote riff good evening friends
Jurmana,Bollywood,Unknown,inder saxena building contractor delhi attitude money foremost thing world maternal uncle persuades reluctant inder visit supervise projects progress pratapgarh meets college mate prakash vinod mehra professor daya shankar sharma shreeram lagoo daughter rama raakhee inder sets eyes rama prakash secretly admiring rama tells inder amitabh bachchan kind girl cant lured power money inder firm perception women want money bets prakash lure rama money everything bag tricks fails publishes book poems gifts gesture surprises rama delighted one day inder asks rama accompany rama promises lies father seeing laila farida jalal upon learning truth daya shankar unexpectedly drops prakash inders house finds rama bedroom scorns lying rama leaves house forever heading towards delhi robbed get train distressed rama gets help station master nandalal asrani shelters house coincidentally train meets accident assuming unrecognizable damaged body rama police send letter daya shankar death shocking everyone inder feeling guilty incident believes rama alive searches meanwhile rama learns singing forget sorrows becomes renowned singer one day inder hears singing radio finds informs prakash eventually misunderstandings differences settled rama inder come together
Atomic Train,American,"David Jackson, Dick Lowry",bradshaw disposal services russian nuclear bomb transport employee decides save money concealing freight train train also loaded hazardous flammable chemicals including metallic sodium spontaneously ignites contact water train suffers brake failure becomes runaway heading denver john seger national transportation safety board ntsb investigator boards train assistance railwaymen tries various ways stop train several ideas tried coupling following train caboose coupling mechanism caboose breaks also results death one trains crew members derailing attempt revealed catastrophe chemicals would cause ignited helicopter narrowly avoids hit finally attempt manually activating brakes via hitting part engine mechanism wrench final attempt works successfully shortlived following rescue train unaware freights slowing speeds forward crushes caboose killing injured crew member process force disengages brakes time good causing train speed meanwhile denver residents struggling collect families leave town despite rioters looters gridlock realizing way stop john engineer initially reluctant abandon train jumping speed much train derails becomes terrific wreck discovering highly unstable bomb board firefighters struggle extinguish fire crash site realizing metallic sodium train firefighters nest teams retreat evaluate strategy meantime firefighting aircraft grounded misinterpretation radio call water bombing helicopter leads dump load water onto wreck water comes contact metallic sodium explodes turn causes nuclear bomb detonate blast causes severe damage throughout denver releases electromagnetic pulse cars work electricity anything computer shut blast denver lies ruins john made back town via helicopter attempts get family denver nuclear fallout starts finding working car john eventually reunites family fema refugee camp eminence kansas
Rajjo,Bollywood,Vishwas Patil,romantic musical rajjo journey nautch girl extraordinary circumstances tells love story rajjo kangana ranaut chandu paras arora set backdrop dying kothas mumbai nurtured traditional art singing dancing centuries5 storys central characters rajjo muslim girl chandu young brahmin boy chandu helps team win cricket match team decides celebrate victory visiting kothas nagpada chandu meets rajjo mesmerizes elegant mujra dance love first sight him6 chandu belongs family music lovers good harmonium player mother bhajan singer rajjo trained kothewali amma naughty sweet quite attractive music common thread strong attraction draws rajjo chandu together seals love simultaneously nagpada area goes clutches redevelopment dancers singers shadow potential danger amidst circumstances rajjo chandu deal begum mahesh manjrekar runs kotha hande bhau prakash raj corporator powerful political connections eye rajjo7
Johnny Cool,American,William Asher,johnny colini exiled american living rome rescues salvatore giordano young sicilian outlaw police giordano groomed polished renamed johnny cool colini sends mission vengeance united states assassinate men plotted downfall enforced exile johnny arrives new york quickly kills several underworld figures colinis list meanwhile picks darien dare guiness wealthy divorcée becomes accomplice later severely beaten gangsters warning johnny pursuing vendetta soon fbi becomes involved johnny dare bomb hollywood home gangster lennart crandall police able identify dares car panics leaves parked street two separated planned meet later dare abruptly realizing johnny vicious killer tells enemies find surrenders fbi johnny tortured captors films conclusion
The Outlaw Josey Wales,American,Clint Eastwood,josey wales missouri farmer driven revenge murder wife young son band prounion jayhawker militants murderers senator james h lanes kansas brigade led captain terrill grieving burying wife son wales joins group proconfederate missouri bushwhackers led william anderson fights civil war conclusion war captain fletcher persuades guerrillas surrender saying granted amnesty wales refuses surrender result one young man survivors captain terrills redlegs massacre surrendering men wales intervenes guns several redlegs gatling gun senator lane forces fletcher work terrill tracking wales puts 5000 bounty wales run union militia bounty hunters along way despite wishing left alone accumulates diverse group companions include old cherokee named lone watie young navajo woman elderly woman kansas granddaughter laura lee wales rescues comancheros santo rio two men travis chato join group wales companions find abandoned ranch owned lauras father inhabit wales parleys makes peace neighboring comanche tribe leader ten bears meanwhile bounty hunter identified wales santo rio guides captain terrill men town following morning ranch attacked redlegs wales companions take shelter fortified ranch house open fire gunning terrills men wounded wales despite ammunition pursues fleeing terrill corners wales dry fires four pistols empty chambers stabbing killing terrill cavalry sword bar santa rio wales finds fletcher two texas rangers locals bar refer wales mr wilson tell rangers wales killed shootout monterrey mexico rangers accept story move fletcher refuses believe story pretends recognize wales says go mexico look wales try convince war owes wales says died little war riding
Ant-Man,American,Peyton Reed,1989 scientist hank pym resigns shield discovering attempt replicate antman shrinking technology believing technology dangerous pym vows hide long lives present dayn 1 pyms estranged daughter hope van dyne former protégé darren cross forced company pym technologies cross close perfecting shrinking suit yellowjacket horrifies pym upon release prison wellmeaning thief scott lang moves old cellmate luis lang visits daughter cassie unannounced chastised former wife maggie policedetective fiancé paxton providing child support unable hold job criminal record lang agrees join luis crew commit burglary lang breaks house cracks safe finds believes old motorcycle suit takes home trying suit lang accidentally shrinks size insect terrified experience returns suit house arrested way pym homeowner visits lang jail smuggles suit cell help break pym manipulated lang unknowing luis stealing suit test wants lang become new antman steal yellowjacket cross spying cross discovering intentions van dyne pym train lang fight control ants van dyne harbors resentment towards pym mother janets death reveals janet known wasp disappeared subatomic quantum realm disabling soviet nuclear missile pym warns lang could suffer similar fate overrides suits regulator send steal device aid heist avengers headquarters briefly fights sam wilson cross perfects yellowjacket hosts unveiling ceremony pym technologies headquarters lang along crew swarm flying ants infiltrates building event sabotages companys servers plants explosives attempts steal yellowjacket along pym van dyne captured cross intends sell yellowjacket antman suits hydra lang breaks free van dyne dispatch hydra agents though one flees vial cross particles pym shot lang pursues cross explosives detonate imploding building pym van dyne escape cross dons yellowjacket attacks lang lang arrested paxton cross takes cassie hostage lure lang another fight lang overrides regulator shrinks subatomic size penetrate cross suit sabotage shrink uncontrollably killing cross lang disappears quantum realm manages reverse effects returns macroscopic world gratitude langs heroism paxton covers lang keep prison seeing lang survived returned quantum realm pym wonders wife alive well later lang meets luis tells wilson looking midcredits scene pym shows van dyne new wasp prototype suit offers postcredits scene wilson steve rogers bucky barnes custody unable contact tony stark accordsn 2 wilson mentions knows someone help
The Giant Spider Invasion,American,Bill Rebane,central plot film revolves around titular spider invasion occurs appears meteorite crashes rural wisconsin spawns spiders varying sizes subplots include invasion deduced various scientificsounding language result sort interdimensional gateway ultimately thwarted drs vance langer manage close gateway draining spiders energy causing melt puddles disgusting sludge
The West Side Kid,American,George Sherman,although publishing newspaper made success sam winston unhappy home life meets johnny april criminal jail asks johnny kill offers 25000 sam tells confused johnny doesnt nerve commit suicide pay johnny job taking days get know victim johnny discovers reasons sams unhappiness spoiled daughter gloria trifling stockbroker boyfriends affections son jerry jobless drunkard wife cold sam fling doctor theyre together johnny likes sam doesnt care kill doctor found dead johnny becomes suspect leaves town takes sam along hiding farm family members suddenly miss sam around begin leading better lives sam finds reason go living johnny also changed man
